Filename: ubcmaBtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  3.7600000000E+02  9.9899758999E-01  9.4097489397E+04  9.4216478209E+04  9.4003165132E+04  9.4305821619E+04
  3.7700000000E+02  9.9902383981E-01  9.4135415200E+04  9.4256675073E+04  9.4043523955E+04  9.4343598939E+04
  3.7800000000E+02  9.9905020993E-01  9.4174282770E+04  9.4297829571E+04  9.4084836972E+04  9.4382321424E+04
  3.7900000000E+02  9.9907670411E-01  9.4214088639E+04  9.4339938655E+04  9.4127101158E+04  9.4421985584E+04
  3.8000000000E+02  9.9910332611E-01  9.4254829433E+04  9.4382999378E+04  9.4170313589E+04  9.4462588025E+04
  3.8100000000E+02  9.9913007979E-01  9.4296501877E+04  9.4427008896E+04  9.4214471444E+04  9.4504125448E+04
  3.8200000000E+02  9.9915696903E-01  9.4339102787E+04  9.4471964464E+04  9.4259572002E+04  9.4546594649E+04
  3.8300000000E+02  9.9918399778E-01  9.4382629073E+04  9.4517863439E+04  9.4305612638E+04  9.4589992516E+04
  3.8400000000E+02  9.9921117005E-01  9.4427077739E+04  9.4564703277E+04  9.4352590832E+04  9.4634316034E+04
  3.8500000000E+02  9.9923848992E-01  9.4472445881E+04  9.4612481533E+04  9.4400504161E+04  9.4679562277E+04
  3.8600000000E+02  9.9926596152E-01  9.4518730690E+04  9.4661195870E+04  9.4449350305E+04  9.4725728418E+04
  3.8700000000E+02  9.9929358902E-01  9.4565929463E+04  9.4710844058E+04  9.4499127052E+04  9.4772811739E+04
  3.8800000000E+02  9.9932137667E-01  9.4614039568E+04  9.4761423948E+04  9.4549832273E+04  9.4820809587E+04
  3.8900000000E+02  9.9934932881E-01  9.4663058460E+04  9.4812933484E+04  9.4601463936E+04  9.4869719398E+04
  3.9000000000E+02  9.9937744984E-01  9.4712983694E+04  9.4865370721E+04  9.4654020110E+04  9.4919538708E+04
  3.9100000000E+02  9.9940574422E-01  9.4763812915E+04  9.4918733813E+04  9.4707498972E+04  9.4970265145E+04
  3.9200000000E+02  9.9943421650E-01  9.4815543860E+04  9.4973021015E+04  9.4761898790E+04  9.5021896431E+04
  3.9300000000E+02  9.9946287129E-01  9.4868174353E+04  9.5028230677E+04  9.4817217933E+04  9.5074430371E+04
  3.9400000000E+02  9.9949171329E-01  9.4921702309E+04  9.5084361249E+04  9.4873454869E+04  9.5127864866E+04
  3.9500000000E+02  9.9952074729E-01  9.4976125731E+04  9.5141411283E+04  9.4930608165E+04  9.5182197903E+04
  3.9600000000E+02  9.9954997813E-01  9.5031442713E+04  9.5199379429E+04  9.4988676486E+04  9.5237427561E+04
  3.9700000000E+02  9.9957941078E-01  9.5087651437E+04  9.5258264436E+04  9.5047658596E+04  9.5293552009E+04
  3.9800000000E+02  9.9960905028E-01  9.5144750172E+04  9.5318065152E+04  9.5107553359E+04  9.5350569501E+04
  3.9900000000E+02  9.9963890181E-01  9.5202737282E+04  9.5378780536E+04  9.5168359746E+04  9.5408478388E+04
  4.0000000000E+02  9.9966897092E-01  9.5261611233E+04  9.5440409696E+04  9.5230076869E+04  9.5467277125E+04
  4.0100000000E+02  9.9969926198E-01  9.5321370848E+04  9.5502952019E+04  9.5292704088E+04  9.5526964582E+04
  4.0200000000E+02  9.9972978096E-01  9.5382014434E+04  9.5566406431E+04  9.5356240398E+04  9.5587538991E+04
  4.0300000000E+02  9.9976053336E-01  9.5443540701E+04  9.5630772279E+04  9.5420685157E+04  9.5648999048E+04
  4.0400000000E+02  9.9979152482E-01  9.5505948443E+04  9.5696049008E+04  9.5486037823E+04  9.5711343537E+04
  4.0500000000E+02  9.9982276107E-01  9.5569236544E+04  9.5762236165E+04  9.5552297955E+04  9.5774571332E+04
  4.0600000000E+02  9.9985424795E-01  9.5633403976E+04  9.5829333396E+04  9.5619465212E+04  9.5838681392E+04
  4.0700000000E+02  9.9988599143E-01  9.5698449797E+04  9.5897340453E+04  9.5687539354E+04  9.5903672765E+04
  4.0800000000E+02  9.9991799759E-01  9.5764373153E+04  9.5966257185E+04  9.5756520244E+04  9.5969544589E+04
  4.0900000000E+02  9.9995027264E-01  9.5831173278E+04  9.6036083547E+04  9.5826407846E+04  9.6036296086E+04
  4.1000000000E+02  9.9998282288E-01  9.5898849494E+04  9.6106819595E+04  9.5897202228E+04  9.6103926569E+04
  4.1100000000E+02  1.0000156548E+00  9.5967401211E+04  9.6178465489E+04  9.5968903561E+04  9.6172435437E+04
  4.1200000000E+02  1.0000487750E+00  9.6036827926E+04  9.6251021494E+04  9.6041512118E+04  9.6241822180E+04
  4.1300000000E+02  1.0000821901E+00  9.6107129223E+04  9.6324487980E+04  9.6115028277E+04  9.6312086375E+04
