Filename: ubcmaCtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  4.6000000000E+01  1.4406154097E-01  3.6510710362E+05  5.2598202146E+04  5.2597891965E+04  3.6599912169E+05
  4.7000000000E+01  1.4553393034E-01  3.5221691454E+05  5.1259335027E+04  5.1259511905E+04  3.5305333703E+05
  4.8000000000E+01  1.4700871088E-01  3.4013017595E+05  5.0001625460E+04  5.0002098698E+04  3.4091730662E+05
  4.9000000000E+01  1.4853392274E-01  3.2879703881E+05  4.8837026021E+04  4.8837513962E+04  3.2954025807E+05
  5.0000000000E+01  1.5030618823E-01  3.1818286491E+05  4.7824852544E+04  4.7824853586E+04  3.1888726430E+05
  5.1000000000E+01  1.5270068046E-01  3.0828680372E+05  4.7077015304E+04  4.7075604703E+04  3.0895757768E+05
  5.2000000000E+01  1.5585035404E-01  2.9892159278E+05  4.6590964715E+04  4.6587036065E+04  2.9956921334E+05
  5.3000000000E+01  1.5820760683E-01  2.8994517454E+05  4.5878011155E+04  4.5871532176E+04  2.9059889700E+05
  5.4000000000E+01  1.6267720726E-01  2.8123525926E+05  4.5761223436E+04  4.5750566560E+04  2.8195800125E+05
  5.5000000000E+01  1.6594881191E-01  2.7340060847E+05  4.5381242259E+04  4.5370506150E+04  2.7408737268E+05
  5.6000000000E+01  1.6887129644E-01  2.6592847992E+05  4.4918330900E+04  4.4907687165E+04  2.6658488314E+05
  5.7000000000E+01  1.7109390259E-01  2.5881884616E+05  4.4292528989E+04  4.4282326452E+04  2.5944632261E+05
  5.8000000000E+01  1.7319806301E-01  2.5206439659E+05  4.3666882172E+04  4.3657065243E+04  2.5266359973E+05
  5.9000000000E+01  1.7501270812E-01  2.4562806359E+05  4.2997451091E+04  4.2988032598E+04  2.4620087440E+05
  6.0000000000E+01  1.7669343056E-01  2.3947776679E+05  4.2323250101E+04  4.2314148156E+04  2.4002682648E+05
  6.1000000000E+01  1.7832744506E-01  2.3354277892E+05  4.1655977398E+04  4.1647087078E+04  2.3407053136E+05
  6.2000000000E+01  1.8000615707E-01  2.2789548355E+05  4.1031363070E+04  4.1022590208E+04  2.2840291329E+05
  6.3000000000E+01  1.8161913514E-01  2.2251539236E+05  4.0421811507E+04  4.0413053116E+04  2.2300392226E+05
  6.4000000000E+01  1.8321439176E-01  2.1739065724E+05  3.9837960601E+04  3.9829097040E+04  2.1786186534E+05
  6.5000000000E+01  1.8483841270E-01  2.1251263575E+05  3.9289631540E+04  3.9280498269E+04  2.1296792999E+05
  6.6000000000E+01  1.8649140149E-01  2.0787375529E+05  3.8776323187E+04  3.8766667957E+04  2.0831463430E+05
  6.7000000000E+01  1.8829890372E-01  2.0347831807E+05  3.8325416037E+04  3.8314744224E+04  2.0390657680E+05
  6.8000000000E+01  1.9080387600E-01  1.9933472901E+05  3.8046563538E+04  3.8033838917E+04  1.9975541420E+05
  6.9000000000E+01  1.9588433264E-01  1.9541626784E+05  3.8295787711E+04  3.8278985213E+04  1.9584806996E+05
  7.0000000000E+01  2.0642044222E-01  1.9155790337E+05  3.9565042467E+04  3.9541467125E+04  1.9205685734E+05
  7.1000000000E+01  2.1632797741E-01  1.8817141228E+05  4.0733157382E+04  4.0706741027E+04  1.8865266537E+05
  7.2000000000E+01  2.2385029779E-01  1.8480898219E+05  4.1397434290E+04  4.1369545697E+04  1.8527383290E+05
  7.3000000000E+01  2.2811169387E-01  1.8148118048E+05  4.1425796251E+04  4.1397979484E+04  1.8193080177E+05
  7.4000000000E+01  2.3103455380E-01  1.7823859469E+05  4.1206492442E+04  4.1179274193E+04  1.7867400318E+05
  7.5000000000E+01  2.3344853856E-01  1.7509540786E+05  4.0902246239E+04  4.0875767073E+04  1.7551752365E+05
  7.6000000000E+01  2.3568584284E-01  1.7205708586E+05  4.0577141307E+04  4.0551419298E+04  1.7246673113E+05
  7.7000000000E+01  2.3755498932E-01  1.6912355292E+05  4.0201077614E+04  4.0176143808E+04  1.6952147204E+05
