Filename: lbcmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  6.80       34   80 0.407     9.859E-04
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.863E+04  12.5     6.863E+04
F107,F107A,MLAT,MLONG:  150.      150.      66.0      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  2.8000000000E+02  7.9537641223E-01  3.9810720982E+04  3.1715404609E+04  3.1664508423E+04  3.9893260403E+04
  2.8100000000E+02  7.9272223729E-01  3.9687442930E+04  3.1511828579E+04  3.1461118552E+04  3.9770238421E+04
  2.8200000000E+02  7.7691256184E-01  3.9521451749E+04  3.0753701119E+04  3.0704712326E+04  3.9604601747E+04
  2.8300000000E+02  7.7557452898E-01  3.9441859540E+04  3.0639283549E+04  3.0590101635E+04  3.9525189083E+04
  2.8400000000E+02  7.7599787080E-01  3.9371812136E+04  3.0601754299E+04  3.0552442387E+04  3.9455347266E+04
  2.8500000000E+02  7.7686752687E-01  3.9300754166E+04  3.0580973525E+04  3.0531479693E+04  3.9384502661E+04
  2.8600000000E+02  7.7724399200E-01  3.9223118870E+04  3.0535564026E+04  3.0485933489E+04  3.9307098601E+04
  2.8700000000E+02  7.7701317585E-01  3.9138377629E+04  3.0460753114E+04  3.0411035099E+04  3.9222607900E+04
  2.8800000000E+02  7.7465817359E-01  3.9034643544E+04  3.0288090828E+04  3.0238505674E+04  3.9119166633E+04
  2.8900000000E+02  7.6094766293E-01  3.8888344345E+04  2.9640128475E+04  2.9591994744E+04  3.8973253380E+04
  2.9000000000E+02  7.5978334412E-01  3.8808884499E+04  2.9534662360E+04  2.9486344047E+04  3.8894038501E+04
  2.9100000000E+02  7.6002167033E-01  3.8733636011E+04  2.9486867041E+04  2.9438402739E+04  3.8819061310E+04
  2.9200000000E+02  7.5982705019E-01  3.8643346038E+04  2.9410851116E+04  2.9362259629E+04  3.8729073470E+04
  2.9300000000E+02  7.5474565347E-01  3.8504745245E+04  2.9109485523E+04  2.9061289111E+04  3.8590871688E+04
  2.9400000000E+02  7.2139926207E-01  3.8258396706E+04  2.7644063743E+04  2.7599579151E+04  3.8345156297E+04
  2.9500000000E+02  7.0756999391E-01  3.8140228192E+04  2.7030455431E+04  2.6986881030E+04  3.8227328779E+04
  2.9600000000E+02  7.0908951361E-01  3.8105372638E+04  2.7063970974E+04  2.7020120150E+04  3.8192731722E+04
  2.9700000000E+02  7.1139864845E-01  3.8071096077E+04  2.7127950452E+04  2.7083726294E+04  3.8158720308E+04
  2.9800000000E+02  7.1287067553E-01  3.8027327798E+04  2.7153081015E+04  2.7108566856E+04  3.8115245773E+04
  2.9900000000E+02  7.1177801158E-01  3.7963528230E+04  2.7066145448E+04  2.7021604636E+04  3.8051787100E+04
  3.0000000000E+02  7.0197924515E-01  3.7868636524E+04  2.6626645734E+04  2.6582996882E+04  3.7957303783E+04
  3.0100000000E+02  7.0256923914E-01  3.7828447249E+04  2.6620940378E+04  2.6577103402E+04  3.7917417738E+04
  3.0200000000E+02  7.0275002184E-01  3.7781766482E+04  2.6595129426E+04  2.6551137220E+04  3.7871060875E+04
  3.0300000000E+02  7.0186814759E-01  3.7719865954E+04  2.6518419834E+04  2.6474372444E+04  3.7809525660E+04
  3.0400000000E+02  6.9314555765E-01  3.7623437392E+04  2.6121731711E+04  2.6078518492E+04  3.7713547431E+04
  3.0500000000E+02  6.9042730208E-01  3.7551706653E+04  2.5969875014E+04  2.5926723513E+04  3.7642212630E+04
  3.0600000000E+02  6.7606632763E-01  3.7431319634E+04  2.5347565649E+04  2.5306054803E+04  3.7522348944E+04
  3.0700000000E+02  6.5967552019E-01  3.7316118436E+04  2.4656658589E+04  2.4616529841E+04  3.7407626100E+04
  3.0800000000E+02  6.5699133025E-01  3.7278647650E+04  2.4531826243E+04  2.4491748310E+04  3.7370512485E+04
  3.0900000000E+02  6.5835621387E-01  3.7260121165E+04  2.4570810397E+04  2.4530432298E+04  3.7352328068E+04
  3.1000000000E+02  6.5700355541E-01  3.7227308293E+04  2.4498824080E+04  2.4458473907E+04  3.7319901506E+04
  3.1100000000E+02  6.5396563528E-01  3.7186977115E+04  2.4359257282E+04  2.4319005113E+04  3.7279977839E+04
  3.1200000000E+02  6.5404414385E-01  3.7158562944E+04  2.4343761929E+04  2.4303340488E+04  3.7251973170E+04
  3.1300000000E+02  6.4951894437E-01  3.7108338845E+04  2.4142631430E+04  2.4102569074E+04  3.7202213583E+04
