Filename: lbcmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.0000000000E+00  7.5010093153E-01  1.4796276483E+06  1.1085039125E+06  1.1098700773E+06  1.4815083150E+06
  2.0000000000E+00  5.2378296948E-01  3.3557436949E+06  1.7555890427E+06  1.7576813973E+06  3.3600793260E+06
  3.0000000000E+00  3.7822887818E-01  5.3975828357E+06  2.0392255234E+06  2.0415217008E+06  5.4046692154E+06
  4.0000000000E+00  2.9272147896E-01  7.1203006078E+06  2.0821194714E+06  2.0842649246E+06  7.1298136122E+06
  5.0000000000E+00  2.4440208296E-01  8.2061782451E+06  2.0037975079E+06  2.0056070563E+06  8.2174229859E+06
  6.0000000000E+00  2.1932442618E-01  8.5978480358E+06  1.8843233502E+06  1.8857180868E+06  8.6100966496E+06
  7.0000000000E+00  2.0972668644E-01  8.4297288484E+06  1.7669784753E+06  1.7679390990E+06  8.4423748708E+06
  8.0000000000E+00  2.1137139030E-01  7.9035988920E+06  1.6700571209E+06  1.6705946862E+06  7.9161368761E+06
  9.0000000000E+00  2.2123702762E-01  7.2222046908E+06  1.5976685531E+06  1.5978190987E+06  7.2341564651E+06
  1.0000000000E+01  2.3656917874E-01  6.5350327906E+06  1.5461562505E+06  1.5459873403E+06  6.5460035974E+06
  1.1000000000E+01  2.5480674286E-01  5.9193147841E+06  1.5087075597E+06  1.5082813201E+06  5.9291856078E+06
  1.2000000000E+01  2.7590285203E-01  5.3578318103E+06  1.4788643591E+06  1.4782410771E+06  5.3665314294E+06
  1.3000000000E+01  2.9767052020E-01  4.8762786001E+06  1.4522936757E+06  1.4515243876E+06  4.8839234221E+06
  1.4000000000E+01  3.1854384148E-01  4.4718146254E+06  1.4253428784E+06  1.4244690092E+06  4.4786201867E+06
  1.5000000000E+01  3.3893542523E-01  4.1147678293E+06  1.3955924713E+06  1.3946405839E+06  4.1209778239E+06
  1.6000000000E+01  3.5941935029E-01  3.7882596464E+06  1.3625826872E+06  1.3615738208E+06  3.7939507501E+06
  1.7000000000E+01  3.8144536299E-01  3.4759505123E+06  1.3269321492E+06  1.3258852049E+06  3.4810482867E+06
  1.8000000000E+01  4.0546454377E-01  3.1785531534E+06  1.2898564061E+06  1.2887906042E+06  3.1830142360E+06
  1.9000000000E+01  4.2995408872E-01  2.9104827908E+06  1.2524548606E+06  1.2513739761E+06  2.9145397172E+06
  2.0000000000E+01  4.5407812975E-01  2.6736555939E+06  1.2151353704E+06  1.2140485317E+06  2.6772969417E+06
  2.1000000000E+01  4.7699604095E-01  2.4674647618E+06  1.1780521735E+06  1.1769709226E+06  2.4707170074E+06
  2.2000000000E+01  4.9935141274E-01  2.2834488541E+06  1.1413143599E+06  1.1402434112E+06  2.2865308260E+06
  2.3000000000E+01  5.2074943862E-01  2.1201641206E+06  1.1051250340E+06  1.1040742756E+06  2.1230291945E+06
  2.4000000000E+01  5.4111811432E-01  1.9747741105E+06  1.0696096639E+06  1.0685860429E+06  1.9773611056E+06
  2.5000000000E+01  5.6081266745E-01  1.8435595172E+06  1.0348924307E+06  1.0338915304E+06  1.8459964275E+06
  2.6000000000E+01  5.7927039174E-01  1.7265378966E+06  1.0011099058E+06  1.0001322837E+06  1.7286927817E+06
  2.7000000000E+01  5.9710775703E-01  1.6201258398E+06  9.6835035053E+05  9.6738970630E+05  1.6221219612E+06
  2.8000000000E+01  6.1436549103E-01  1.5232088588E+06  9.3675364428E+05  9.3580695846E+05  1.5251514229E+06
  2.9000000000E+01  6.3045161600E-01  1.4361640403E+06  9.0636378187E+05  9.0543194006E+05  1.4379117069E+06
  3.0000000000E+01  6.4593191043E-01  1.3565144817E+06  8.7713882370E+05  8.7621599068E+05  1.3581705007E+06
  3.1000000000E+01  6.6053135762E-01  1.2840368768E+06  8.4905884303E+05  8.4814662148E+05  1.2856999509E+06
  3.2000000000E+01  6.7397425226E-01  1.2184314014E+06  8.2208626845E+05  8.2119139269E+05  1.2199474362E+06
  3.3000000000E+01  6.8704127821E-01  1.1575864300E+06  7.9618637167E+05  7.9530966051E+05  1.1590480310E+06
  3.4000000000E+01  6.9983988615E-01  1.1010464185E+06  7.7140278236E+05  7.7055620020E+05  1.1025522575E+06
  3.5000000000E+01  7.1137889331E-01  1.0498699094E+06  7.4766317804E+05  7.4685529427E+05  1.0512252380E+06
  3.6000000000E+01  7.2232247489E-01  1.0023508664E+06  7.2480991127E+05  7.2402055852E+05  1.0035800250E+06
  3.7000000000E+01  7.3276722739E-01  9.5807180863E+05  7.0283113821E+05  7.0204362285E+05  9.5921244948E+05
  3.8000000000E+01  7.4296298131E-01  9.1655639294E+05  6.8175375929E+05  6.8096747024E+05  9.1768388974E+05
  3.9000000000E+01  7.5314647393E-01  8.7745260444E+05  6.6161573324E+05  6.6085033508E+05  8.7866828568E+05
